,No.,Player Name,Position,Player_ID,Year,Country_Name
353,7.0,Dimitrov Dobromir,S,136489,2022,Bulgaria
354,9.0,Seganov Georgi,S,137012,2022,Bulgaria
355,10.0,Stankov Svetoslav,S,181285,2022,Bulgaria
356,11.0,Grozdanov Aleks,MB,152619,2022,Bulgaria
357,12.0,Tatarov Georgi,O,174484,2022,Bulgaria
358,13.0,Dimitrov Dimitar,O,180587,2022,Bulgaria
359,14.0,Asparuhov Asparuh,OH,168269,2022,Bulgaria
360,15.0,Parapunov Radoslav,O,150277,2022,Bulgaria
361,16.0,Ivanov Vladislav,L,118484,2022,Bulgaria
362,17.0,Valchinov Samuil,OH,174444,2022,Bulgaria
363,18.0,Ivanov Svetoslav,OH,164812,2022,Bulgaria
364,20.0,Ragin Ventsislav,MB,136483,2022,Bulgaria
365,21.0,Petkov Iliya,MB,168268,2022,Bulgaria
366,22.0,Kartev Nikolay,MB,162123,2022,Bulgaria
367,23.0,Nikolov Aleksandar,OH,180586,2022,Bulgaria
368,24.0,Ivanov Martin,L,173009,2022,Bulgaria
369,25.0,Antov Venislav,O,181806,2022,Bulgaria
370,26.0,Zahariev Nikolay,MB,174446,2022,Bulgaria
371,27.0,Bozhilov Martin,L,135372,2022,Bulgaria
372,,Nikolay Jeliazkov,COACH,N/A,2022,Bulgaria
373,1.0,Canham Jordan,O,168941,2022,Canada
374,2.0,Neaves Matthew,O,168922,2022,Canada
375,3.0,Elser Jesse,OH,162249,2022,Canada
376,4.0,Hoag Nicholas,OH,136291,2022,Canada
377,5.0,Loeppky Eric,OH,157327,2022,Canada
378,6.0,Demyanenko Danny,MB,140042,2022,Canada
379,7.0,Maar Stephen Timothy,OH,140061,2022,Canada
380,8.0,Walsh Brett James,S,143745,2022,Canada
381,9.0,Blankenau Jay,S,124553,2022,Canada
382,10.0,Sclater Ryan Joseph,O,140428,2022,Canada
383,11.0,Eshenko Pearson,MB,157324,2022,Canada
384,12.0,Van Berkel Lucas,MB,136296,2022,Canada
