No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
14.0,Szwarc Arthur,O,151871,2023,Canada,Canada,28.0,209,96,8.00,80,50.31%,6.67,7,24.14%,0.58,9,11.25%,0.75
18.0,Lui Justin,L,168925,2023,Canada,Canada,23.0,178,0,0.00,0,-,-,0,-,-,0,-,-
97.0,Currie Landon,L,168923,2023,Canada,Canada,24.0,174,0,0.00,0,-,-,0,-,-,0,-,-
99.0,Elser Mathias,OH,168908,2023,Canada,Canada,22.0,198,19,1.58,17,37.78%,1.42,2,16.67%,0.17,0,0.00%,0.00
,Tuomas Sammelvuo,COACH,N/A,2023,Canada,,,,,,,,,,,,,,
1.0,Wang Dongchen,MB,173184,2023,China,China,23.0,200,32,2.67,21,45.65%,1.75,8,22.22%,0.67,3,4.35%,0.25
2.0,Jiang Chuan,O,142855,2023,China,China,29.0,205,104,8.67,94,44.55%,7.83,6,13.95%,0.50,4,4.21%,0.33
3.0,Wang Hebin,S,174297,2023,China,China,24.0,188,16,1.33,5,35.71%,0.42,8,17.02%,0.67,3,2.38%,0.25
5.0,Yang Yiming,L,174295,2023,China,China,24.0,186,0,0.00,0,-,-,0,-,-,0,-,-
6.0,Yu Yuantai,OH,152518,2023,China,China,26.0,186,92,7.67,83,50.92%,6.92,4,15.38%,0.33,5,4.67%,0.42
8.0,Guo Cheng,S,164632,2023,China,China,28.0,200,2,0.17,0,0.00%,0.00,2,28.57%,0.17,0,0.00%,0.00
9.0,Li Yongzhen,MB,181103,2023,China,China,25.0,198,71,5.92,49,60.49%,4.08,18,19.35%,1.50,4,4.08%,0.33
14.0,Zhai Dejun,OH,174159,2023,China,China,24.0,195,58,4.83,50,35.97%,4.17,3,11.11%,0.25,5,6.85%,0.42
15.0,Peng Shikun,MB,168175,2023,China,China,23.0,208,65,5.42,46,53.49%,3.83,15,18.99%,1.25,4,2.61%,0.33
16.0,Qu Zongshuai,L,174158,2023,China,China,25.0,186,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Chen Leiyang,S,152511,2023,China,China,25.0,198,1,0.12,0,-,-,0,0.00%,0.00,1,3.57%,0.12
20.0,Rao Shuhan,MB,142598,2023,China,China,27.0,205,0,-,0,-,-,0,-,-,0,-,-
22.0,Zhang Jingyin,OH,168271,2023,China,China,24.0,207,201,16.75,162,48.50%,13.50,22,31.88%,1.83,17,11.41%,1.42
23.0,Wang Bin,OH,169310,2023,China,China,22.0,195,29,2.42,25,53.19%,2.08,0,0.00%,0.00,4,10.53%,0.33
,Sheng Wu,COACH,N/A,2023,China,,,,,,,,,,,,,,
1.0,Masso Alvarez Jose Israel,MB,147273,2023,Cuba,Cuba,26.0,2,59,4.92,47,58.02%,3.92,9,9.89%,0.75,3,3.37%,0.25
2.0,Mergarejo Hernandez Osniel Lazaro,OH,151814,2023,Cuba,Cuba,26.0,195,38,3.17,34,36.17%,2.83,2,10.53%,0.17,2,2.53%,0.17
5.0,Concepcion Rojas Javier Octavio,MB,147263,2023,Cuba,Cuba,26.0,200,99,8.25,67,61.47%,5.58,29,20.86%,2.42,3,2.13%,0.25
6.0,Thondike Mejias Christian Manuel,S,168412,2023,Cuba,Cuba,22.0,195,5,0.42,1,9.09%,0.08,3,14.29%,0.25,1,2.50%,0.08
7.0,Garcia Alvarez Yonder Roman,L,132361,2023,Cuba,Cuba,31.0,183,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Gutierrez Suarez Miguel David,O,147268,2023,Cuba,Cuba,27.0,197,11,0.92,9,52.94%,0.75,2,25.00%,0.17,0,0.00%,0.00
11.0,Taboada Diaz Lyvan,S,157477,2023,Cuba,Cuba,25.0,191,20,1.67,6,46.15%,0.50,14,22.95%,1.17,0,0.00%,0.00
12.0,Herrera Jaime Jesus,O,169940,2023,Cuba,Cuba,28.0,194,212,17.67,180,51.43%,15.00,11,17.74%,0.92,21,10.71%,1.75
14.0,Goide Arredondo Adrian Eduardo,S,147272,2023,Cuba,Cuba,25.0,191,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
18.0,Lopez Castro Miguel Angel,OH,151817,2023,Cuba,Cuba,27.0,189,171,14.25,148,50.34%,12.33,7,10.77%,0.58,16,9.20%,1.33
19.0,Pedroso Garriga Endriel Alberto,MB,182877,2023,Cuba,Cuba,21.0,212,21,1.75,10,43.48%,0.83,11,28.21%,0.92,0,0.00%,0.00
22.0,Gutierrez Suarez Jose Miguel,OH,168417,2023,Cuba,Cuba,22.0,192,2,0.17,0,0.00%,0.00,1,100%,0.08,1,2.13%,0.08
23.0,Yant Herrera Marlon,OH,157318,2023,Cuba,Cuba,22.0,202,100,8.33,85,47.22%,7.08,11,22.45%,0.92,4,3.67%,0.33
24.0,Gorguet Salas Alain,OH,190322,2023,Cuba,Cuba,30.0,189,0,0.00,0,-,-,0,-,-,0,-,-
,Nicolas Ernesto Vives Coffigny,COACH,N/A,2023,Cuba,,,,,,,,,,,,,,
1.0,Chinenyeze Barthélémy,MB,152494,2023,France,France,26.0,204,89,9.89,70,60.87%,7.78,15,20.27%,1.67,4,3.77%,0.44
2.0,Grebennikov Jenia,L,119792,2023,France,France,33.0,188,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Patry Jean,O,142694,2023,France,France,27.0,207,84,9.33,68,45.33%,7.56,10,35.71%,1.11,6,8.33%,0.67
6.0,Toniutti Benjamin,S,119804,2023,France,France,34.0,183,4,0.80,3,75.00%,0.60,1,11.11%,0.20,0,0.00%,0.00
7.0,Tillie Kevin,OH,124518,2023,France,France,33.0,200,92,10.22,86,45.74%,9.56,4,8.16%,0.44,2,1.53%,0.22
11.0,Brizard Antoine,S,136851,2023,France,France,29.0,196,21,2.33,8,42.11%,0.89,6,15.00%,0.67,7,6.48%,0.78
12.0,Boyer Stephen,O,142710,2023,France,France,27.0,196,62,6.89,57,45.97%,6.33,3,13.64%,0.33,2,3.77%,0.22
14.0,Le Goff Nicolas,MB,125073,2023,France,France,32.0,206,29,5.80,20,62.50%,4.00,8,30.77%,1.60,1,3.57%,0.20
16.0,Bultor Daryl,MB,142677,2023,France,France,28.0,197,73,5.62,59,67.05%,4.54,10,16.39%,0.77,4,4.60%,0.31
17.0,Clevenot Trevor,OH,132948,2023,France,France,29.0,199,96,10.67,86,45.03%,9.56,7,14.29%,0.78,3,2.65%,0.33
19.0,Louati Yacine,OH,120735,2023,France,France,32.0,198,42,4.67,33,37.50%,3.67,5,20.83%,0.56,4,5.56%,0.44
20.0,Diez Benjamin,L,152506,2023,France,France,25.0,183,0,0.00,0,-,-,0,-,-,0,-,-
23.0,Carle Timothée,OH,142686,2023,France,France,28.0,195,79,6.08,68,48.23%,5.23,4,16.67%,0.31,7,8.86%,0.54
25.0,Jouffroy Quentin,MB,136856,2023,France,France,30.0,202,32,2.46,20,51.28%,1.54,5,15.62%,0.38,7,6.25%,0.54
,Andrea Giani,COACH,N/A,2023,France,,,,,,,,,,,,,,
1.0,Fromm Christian,OH,119779,2023,Germany,Germany,33.0,204,29,7.25,28,48.28%,7.00,0,0.00%,0.00,1,2.78%,0.25
2.0,Tille Johannes,S,152469,2023,Germany,Germany,26.0,186,17,1.42,1,25.00%,0.08,7,19.44%,0.58,9,6.34%,0.75
3.0,Kaliberda Denys,OH,119775,2023,Germany,Germany,33.0,193,13,1.08,10,32.26%,0.83,1,16.67%,0.08,2,7.69%,0.17
5.0,Reichert Moritz,OH,139386,2023,Germany,Germany,29.0,194,121,10.08,104,43.70%,8.67,8,17.78%,0.67,9,5.56%,0.75
6.0,Graven Leonard,L,182291,2023,Germany,Germany,19.0,180,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
11.0,Kampa Lukas,S,116575,2023,Germany,Germany,37.0,196,5,0.62,2,100%,0.25,1,6.67%,0.12,2,3.39%,0.25
12.0,Brehme Anton,MB,162081,2023,Germany,Germany,24.0,206,117,9.75,93,61.18%,7.75,13,12.62%,1.08,11,7.80%,0.92
13.0,Schott Ruben,OH,136441,2023,Germany,Germany,29.0,193,29,2.42,21,32.81%,1.75,4,26.67%,0.33,4,7.84%,0.33
18.0,Krage Florian,MB,162790,2023,Germany,Germany,27.0,203,33,2.75,23,56.10%,1.92,8,16.00%,0.67,2,4.08%,0.17
20.0,Weber Linus,O,162082,2023,Germany,Germany,24.0,203,143,11.92,125,51.23%,10.42,9,15.00%,0.75,9,9.89%,0.75
21.0,Krick Tobias,MB,152349,2023,Germany,Germany,25.0,210,53,4.42,40,60.61%,3.33,13,20.31%,1.08,0,0.00%,0.00
22.0,Brand Tobias,OH,163592,2023,Germany,Germany,25.0,193,33,2.75,30,46.15%,2.50,3,27.27%,0.25,0,0.00%,0.00
25.0,Maase Lukas,MB,152352,2023,Germany,Germany,25.0,208,9,1.12,6,50.00%,0.75,3,25.00%,0.38,0,0.00%,0.00
31.0,Böhme Yan,O,184322,2023,Germany,Germany,26.0,203,47,3.92,41,46.59%,3.42,6,26.09%,0.50,0,0.00%,0.00
,Michał Winiarski,COACH,N/A,2023,Germany,,,,,,,,,,,,,,
1.0,Jelveh Ghaziani Mahdi,MB,163173,2023,Iran,Iran,22.0,208,13,1.08,12,50.00%,1.00,1,4.76%,0.08,0,0.00%,0.00
6.0,Mousavi Eraghi Seyed Mohammad,MB,118827,2023,Iran,Iran,36.0,203,91,7.58,53,51.96%,4.42,35,27.34%,2.92,3,2.33%,0.25
8.0,Hazratpourtalatappeh Mohammadreza,L,163176,2023,Iran,Iran,24.0,187,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Moazzen Mohammadreza,L,153535,2023,Iran,Iran,32.0,175,0,0.00,0,-,-,0,-,-,0,-,-
12.0,Esfandiar Amirhossein,OH,152752,2023,Iran,Iran,25.0,209,65,5.42,48,36.64%,4.00,9,30.00%,0.75,8,8.25%,0.67
13.0,Ramezani Ali,S,152753,2023,Iran,Iran,25.0,200,1,0.25,1,50.00%,0.25,0,0.00%,0.00,0,0.00%,0.00
19.0,Hossein Khanzadeh Firouzjah Poriya,OH,182470,2023,Iran,Iran,19.0,198,63,6.30,55,49.11%,5.50,4,22.22%,0.40,4,4.82%,0.40
20.0,Homayonfarmanesh Shahrooz,OH,123413,2023,Iran,Iran,34.0,192,18,1.50,16,57.14%,1.33,1,25.00%,0.08,1,2.27%,0.08
22.0,Afshin Far Armin,OH,189602,2023,Iran,Iran,25.0,207,1,0.25,1,20.00%,0.25,0,0.00%,0.00,0,-,-
23.0,Saadat Bardia,O,168551,2023,Iran,Iran,21.0,205,36,9.00,33,45.83%,8.25,3,13.64%,0.75,0,0.00%,0.00
24.0,Karimisouchelmaei Javad,S,152755,2023,Iran,Iran,26.0,204,20,1.67,13,59.09%,1.08,5,23.81%,0.42,2,3.12%,0.17
27.0,Valizadeh Mohammad,MB,174373,2023,Iran,Iran,22.0,204,72,6.00,46,56.10%,3.83,21,22.11%,1.75,5,3.18%,0.42
49.0,Sharifi Morteza,OH,152742,2023,Iran,Iran,24.0,193,92,8.36,84,46.41%,7.64,4,10.26%,0.36,4,3.67%,0.36
77.0,Daneshdoust Ehsan,OH,163174,2023,Iran,Iran,24.0,192,0,-,0,-,-,0,-,-,0,-,-
,Behrouz Ataei Nouri,COACH,N/A,2023,Iran,,,,,,,,,,,,,,
5.0,Michieletto Alessandro,OH,171191,2023,Italy,Italy,22.0,205,145,13.18,115,50.00%,10.45,17,30.91%,1.55,13,8.55%,1.18
6.0,Giannelli Simone,S,144005,2023,Italy,Italy,27.0,200,49,4.45,27,56.25%,2.45,14,17.50%,1.27,8,4.73%,0.73
7.0,Balaso Fabio,L,150436,2023,Italy,Italy,28.0,178,0,0.00,0,-,-,0,-,-,0,-,-
8.0,Sbertoli Riccardo,S,152370,2023,Italy,Italy,25.0,188,1,0.09,0,-,-,1,50.00%,0.09,0,0.00%,0.00
10.0,Scanferla Leonardo,L,181128,2023,Italy,Italy,25.0,184,0,0.00,0,-,-,0,-,-,0,-,-
12.0,Bottolo Mattia,OH,163447,2023,Italy,Italy,24.0,196,41,3.73,37,50.00%,3.36,2,15.38%,0.18,2,5.13%,0.18
14.0,Galassi Gianluca,MB,152408,2023,Italy,Italy,26.0,201,76,6.91,46,58.97%,4.18,22,20.37%,2.00,8,8.33%,0.73
15.0,Lavia Daniele,OH,153200,2023,Italy,Italy,24.0,200,134,12.18,108,40.00%,9.82,20,24.10%,1.82,6,4.03%,0.55
16.0,Romanò Yuri,O,162520,2023,Italy,Italy,26.0,201,223,14.87,185,44.47%,12.33,16,13.56%,1.07,22,11.46%,1.47
18.0,Gironi Fabrizio,OH,163032,2023,Italy,Italy,24.0,200,3,0.27,3,23.08%,0.27,0,0.00%,0.00,0,0.00%,0.00
19.0,Russo Roberto,MB,152405,2023,Italy,Italy,27.0,207,96,8.73,59,58.42%,5.36,24,21.05%,2.18,13,8.07%,1.18
20.0,Rinaldi Tommaso,OH,172962,2023,Italy,Italy,22.0,200,53,3.53,47,43.12%,3.13,3,13.64%,0.20,3,4.76%,0.20
28.0,Sanguinetti Giovanni,MB,174076,2023,Italy,Italy,23.0,203,21,1.91,12,63.16%,1.09,4,21.05%,0.36,5,14.71%,0.45
30.0,Mosca Leandro Ausibio,MB,174074,2023,Italy,Italy,23.0,208,24,2.18,17,65.38%,1.55,7,29.17%,0.64,0,0.00%,0.00
,Ferdinando De Giorgi,COACH,N/A,2023,Italy,,,,,,,,,,,,,,
2.0,Onodera Taishi,MB,142565,2023,Japan,Japan,28.0,200,100,6.67,78,59.54%,5.20,18,16.07%,1.20,4,2.14%,0.27
4.0,Miyaura Kento,O,163038,2023,Japan,Japan,25.0,190,136,9.07,116,55.77%,7.73,5,12.50%,0.33,15,12.50%,1.00
5.0,Otsuka Tatsunori,OH,163516,2023,Japan,Japan,23.0,194,31,2.21,31,46.27%,2.21,0,0.00%,0.00,0,0.00%,0.00
6.0,Yamauchi Akihiro,MB,146409,2023,Japan,Japan,30.0,204,74,4.93,58,53.21%,3.87,12,15.38%,0.80,4,2.67%,0.27
8.0,Sekita Masahiro,S,133009,2023,Japan,Japan,30.0,175,8,0.53,2,33.33%,0.13,1,1.72%,0.07,5,2.16%,0.33
10.0,Takahashi Kentaro,MB,142561,2023,Japan,Japan,29.0,202,25,1.67,19,63.33%,1.27,6,13.04%,0.40,0,0.00%,0.00
11.0,Tomita Shoma,OH,178761,2023,Japan,Japan,26.0,190,9,0.60,9,60.00%,0.60,0,-,-,0,0.00%,0.00
12.0,Takahashi Ran,OH,178762,2023,Japan,Japan,22.0,188,198,13.20,173,55.27%,11.53,10,13.89%,0.67,15,7.43%,1.00
13.0,Ogawa Tomohiro,L,180990,2023,Japan,Japan,27.0,176,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Ishikawa Yuki,OH,142568,2023,Japan,Japan,28.0,191,275,18.33,237,52.90%,15.80,17,15.74%,1.13,21,9.09%,1.40
18.0,Nishiyama Hiroto,O,192453,2023,Japan,Japan,21.0,193,4,1.33,3,42.86%,1.00,0,0.00%,0.00,1,20.00%,0.33
20.0,Yamamoto Tomohiro,L,172893,2023,Japan,Japan,29.0,171,0,0.00,0,-,-,0,-,-,0,-,-
21.0,Eiro Motoki,S,142562,2023,Japan,Japan,27.0,192,1,0.14,0,-,-,1,12.50%,0.14,0,0.00%,0.00
28.0,Evbade-Dan Larry Ik,MB,189039,2023,Japan,Japan,23.0,195,2,0.40,2,40.00%,0.40,0,0.00%,0.00,0,0.00%,0.00
,Philippe Blain,COACH,N/A,2023,Japan,,,,,,,,,,,,,,
1.0,Korenblek Siebe,MB,188782,2023,Netherlands,Netherlands,22.0,215,4,0.33,2,100%,0.17,2,50.00%,0.17,0,0.00%,0.00
2.0,Keemink Wessel,S,141546,2023,Netherlands,Netherlands,30.0,197,23,1.92,12,80.00%,1.00,8,14.29%,0.67,3,2.27%,0.25
3.0,Van Garderen Maarten,OH,139929,2023,Netherlands,Netherlands,34.0,200,128,10.67,103,44.78%,8.58,15,34.88%,1.25,10,7.63%,0.83
4.0,Ter Horst Thijs,OH,137345,2023,Netherlands,Netherlands,32.0,204,13,1.62,11,37.93%,1.38,1,12.50%,0.12,1,10.00%,0.12
5.0,van Der Ent Cornelis Luuc,MB,169921,2023,Netherlands,Netherlands,25.0,208,0,-,0,-,-,0,-,-,0,-,-
6.0,Meijs Silvester,S,188784,2023,Netherlands,Netherlands,22.0,202,4,0.33,0,0.00%,0.00,3,30.00%,0.25,1,5.88%,0.08
7.0,Jorna Gijs,OH,131980,2023,Netherlands,Netherlands,34.0,196,42,3.50,34,31.78%,2.83,7,15.22%,0.58,1,0.95%,0.08
8.0,Plak Fabian,MB,156678,2023,Netherlands,Netherlands,26.0,198,89,7.42,57,52.29%,4.75,25,21.37%,2.08,7,5.11%,0.58
12.0,Tuinstra Bennie Junior,OH,170436,2023,Netherlands,Netherlands,23.0,200,83,6.92,69,42.86%,5.75,3,15.79%,0.25,11,11.11%,0.92
14.0,Abdel-Aziz Nimir,O,137498,2023,Netherlands,Netherlands,32.0,201,217,18.08,184,51.83%,15.33,8,17.78%,0.67,25,13.97%,2.08
16.0,Ter Maat Wouter,O,154521,2023,Netherlands,Netherlands,32.0,200,52,6.50,46,54.76%,5.75,4,28.57%,0.50,2,5.41%,0.25
18.0,Andringa Robbert,L,121992,2023,Netherlands,Netherlands,33.0,192,0,0.00,0,-,-,0,-,-,0,-,-
22.0,Wiltenburg Twan,MB,150703,2023,Netherlands,Netherlands,27.0,205,57,4.75,34,57.63%,2.83,20,23.53%,1.67,3,2.05%,0.25
30.0,Lipke Niels,L,188785,2023,Netherlands,Netherlands,21.0,180,0,-,0,-,-,0,-,-,0,-,-
,Roberto Piazza,COACH,N/A,2023,Netherlands,,,,,,,,,,,,,,
3.0,Popiwczak Jakub,L,153388,2023,Poland,Poland,27.0,180,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Kaczmarek Lukasz,O,162105,2023,Poland,Poland,29.0,204,86,12.29,74,56.06%,10.57,10,20.83%,1.43,2,2.67%,0.29
6.0,Kurek Bartosz,O,115806,2023,Poland,Poland,35.0,205,82,7.45,76,47.50%,6.91,4,11.11%,0.36,2,2.70%,0.18
9.0,Leon Venero Wilfredo,OH,119646,2023,Poland,Poland,30.0,202,137,12.45,109,50.00%,9.91,14,28.00%,1.27,14,12.73%,1.27
10.0,Bednorz Bartosz,OH,150742,2023,Poland,Poland,29.0,201,48,4.36,40,47.06%,3.64,5,21.74%,0.45,3,4.76%,0.27
11.0,Sliwka Aleksander,OH,142679,2023,Poland,Poland,28.0,196,84,12.00,74,57.36%,10.57,6,17.14%,0.86,4,4.21%,0.57
12.0,Lomacz Grzegorz,S,115794,2023,Poland,Poland,36.0,187,6,0.40,2,100%,0.13,3,13.64%,0.20,1,1.45%,0.07
15.0,Kochanowski Jakub,MB,152870,2023,Poland,Poland,26.0,199,78,7.09,45,70.31%,4.09,20,19.80%,1.82,13,10.74%,1.18
16.0,Semeniuk Kamil,OH,153395,2023,Poland,Poland,27.0,195,59,5.36,46,43.81%,4.18,8,30.77%,0.73,5,6.25%,0.45
17.0,Zatorski Pawel,L,118614,2023,Poland,Poland,33.0,184,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Janusz Marcin,S,165942,2023,Poland,Poland,29.0,196,3,0.43,0,0.00%,0.00,1,4.17%,0.14,2,2.82%,0.29
20.0,Bieniek Mateusz,MB,150734,2023,Poland,Poland,29.0,210,77,7.00,56,57.73%,5.09,9,11.54%,0.82,12,9.38%,1.09
21.0,Fornal Tomasz,OH,152866,2023,Poland,Poland,26.0,198,32,4.57,30,44.12%,4.29,2,11.11%,0.29,0,0.00%,0.00
99.0,Huber Norbert,MB,152869,2023,Poland,Poland,25.0,204,65,5.91,39,60.00%,3.55,17,24.64%,1.55,9,7.50%,0.82
,Nikola Grbić,COACH,N/A,2023,Poland,,,,,,,,,,,,,,
2.0,Kovacevic Uros,OH,124926,2023,Serbia,Serbia,30.0,197,1,0.25,1,9.09%,0.25,0,0.00%,0.00,0,0.00%,0.00
3.0,Kapur Milorad,L,136360,2023,Serbia,Serbia,33.0,181,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Mašulović Veljko,OH,192041,2023,Serbia,Serbia,21.0,198,1,0.12,0,0.00%,0.00,1,100%,0.12,0,0.00%,0.00
7.0,Krsmanovic Petar,MB,146579,2023,Serbia,Serbia,33.0,205,100,8.33,64,61.54%,5.33,29,29.59%,2.42,7,4.07%,0.58
8.0,Ivovic Marko,OH,132022,2023,Serbia,Serbia,33.0,194,68,8.50,58,38.67%,7.25,5,15.15%,0.62,5,4.81%,0.62
10.0,Kujundžić Miran,OH,162122,2023,Serbia,Serbia,26.0,196,151,12.58,124,48.63%,10.33,11,20.37%,0.92,16,9.58%,1.33
11.0,Batak Aleksa,S,173249,2023,Serbia,Serbia,24.0,198,1,0.08,0,0.00%,0.00,1,6.25%,0.08,0,0.00%,0.00
12.0,Peric Pavle,OH,173251,2023,Serbia,Serbia,25.0,207,74,6.17,62,42.18%,5.17,8,34.78%,0.67,4,5.71%,0.33
15.0,Masulovic Nemanja,MB,150382,2023,Serbia,Serbia,28.0,205,4,0.50,3,50.00%,0.38,0,0.00%,0.00,1,10.00%,0.12
16.0,Luburic Drazen,O,143794,2023,Serbia,Serbia,30.0,202,192,16.00,172,48.86%,14.33,7,12.50%,0.58,13,7.47%,1.08
18.0,Podrascanin Marko,MB,116525,2023,Serbia,Serbia,36.0,204,0,-,0,-,-,0,-,-,0,-,-
21.0,Todorovic Vuk,S,173250,2023,Serbia,Serbia,25.0,190,17,1.42,6,50.00%,0.50,8,15.38%,0.67,3,2.34%,0.25
23.0,Vucicevic Bozidar,O,168276,2023,Serbia,Serbia,25.0,205,21,1.75,18,40.91%,1.50,3,27.27%,0.25,0,0.00%,0.00
29.0,Nedeljkovic Aleksandar,MB,164985,2023,Serbia,Serbia,26.0,205,94,7.83,61,64.89%,5.08,29,22.66%,2.42,4,2.76%,0.33
,Igor Kolaković,COACH,N/A,2023,Serbia,,,,,,,,,,,,,,
2.0,Pajenk Alen,MB,114962,2023,Slovenia,Slovenia,37.0,203,87,6.69,66,56.90%,5.08,18,15.79%,1.38,3,1.82%,0.23
3.0,Planinšič Uroš,S,168715,2023,Slovenia,Slovenia,25.0,186,4,0.31,0,0.00%,0.00,4,22.22%,0.31,0,0.00%,0.00
4.0,Kozamernik Jan,MB,151391,2023,Slovenia,Slovenia,28.0,204,89,6.85,55,56.70%,4.23,24,17.91%,1.85,10,4.61%,0.77
5.0,Kök Matej,OH,151405,2023,Slovenia,Slovenia,27.0,196,6,0.46,6,31.58%,0.46,0,0.00%,0.00,0,0.00%,0.00
6.0,Toman Urban,L,161756,2023,Slovenia,Slovenia,26.0,185,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Štalekar Sašo,MB,151404,2023,Slovenia,Slovenia,27.0,214,5,0.38,5,50.00%,0.38,0,0.00%,0.00,0,0.00%,0.00
11.0,Koncilja Danijel,MB,144483,2023,Slovenia,Slovenia,33.0,201,0,-,0,-,-,0,-,-,0,-,-
13.0,Kovačič Jani,L,144415,2023,Slovenia,Slovenia,31.0,186,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Štern Žiga,OH,155920,2023,Slovenia,Slovenia,30.0,193,49,3.77,44,51.16%,3.38,4,14.29%,0.31,1,2.44%,0.08
16.0,Ropret Gregor,S,119018,2023,Slovenia,Slovenia,35.0,192,13,1.00,6,33.33%,0.46,6,10.91%,0.46,1,0.81%,0.08
17.0,Urnaut Tine,OH,114957,2023,Slovenia,Slovenia,35.0,200,186,14.31,164,46.99%,12.62,4,7.84%,0.31,18,9.38%,1.38
18.0,Čebulj Klemen,OH,136918,2023,Slovenia,Slovenia,32.0,202,172,13.23,145,44.48%,11.15,18,25.35%,1.38,9,4.95%,0.69
19.0,Možič Rok,OH,168747,2023,Slovenia,Slovenia,22.0,200,164,12.62,140,48.44%,10.77,14,20.90%,1.08,10,8.26%,0.77
20.0,Mujanovič Nik,O,182325,2023,Slovenia,Slovenia,19.0,206,1,0.11,1,100%,0.11,0,-,-,0,-,-
,Gheorghe Cretu,COACH,N/A,2023,Slovenia,,,,,,,,,,,,,,
1.0,Anderson Matthew,O,118893,2023,USA,USA,36.0,202,161,10.73,136,50.75%,9.07,8,10.81%,0.53,17,10.37%,1.13
2.0,Russell Aaron,OH,132624,2023,USA,USA,30.0,205,107,7.64,84,45.41%,6.00,10,21.28%,0.71,13,12.50%,0.93
4.0,Jendryk II Jeffrey,MB,147721,2023,USA,USA,28.0,208,36,2.40,30,55.56%,2.00,4,11.11%,0.27,2,3.23%,0.13
8.0,Defalco Torey,OH,139254,2023,USA,USA,26.0,198,172,11.47,143,51.25%,9.53,13,15.48%,0.87,16,9.36%,1.07
9.0,Hanes Jake,O,170104,2023,USA,USA,25.0,210,36,3.27,27,42.86%,2.45,3,23.08%,0.27,6,13.64%,0.55
10.0,Dagostino Kyle,L,142445,2023,USA,USA,28.0,175,0,0.00,0,-,-,0,-,-,0,-,-
11.0,Christenson Micah,S,124879,2023,USA,USA,30.0,198,25,1.67,6,28.57%,0.40,15,21.74%,1.00,4,2.42%,0.27
12.0,Holt Maxwell,MB,118901,2023,USA,USA,37.0,205,74,4.93,53,63.86%,3.53,12,12.24%,0.80,9,6.67%,0.60
14.0,Ma'a Micah,S,147421,2023,USA,USA,26.0,192,10,0.91,5,55.56%,0.45,4,25.00%,0.36,1,3.23%,0.09
17.0,Jaeschke Thomas,OH,143682,2023,USA,USA,30.0,198,98,8.91,80,46.78%,7.27,11,37.93%,1.00,7,7.07%,0.64
18.0,Muagututia Garrett,OH,133463,2023,USA,USA,36.0,205,32,2.91,28,48.28%,2.55,2,18.18%,0.18,2,4.88%,0.18
19.0,Averill Taylor,MB,148120,2023,USA,USA,32.0,201,56,3.73,43,71.67%,2.87,7,15.22%,0.47,6,7.89%,0.40
20.0,Smith David,MB,116069,2023,USA,USA,38.0,201,69,4.60,41,56.16%,2.73,22,23.91%,1.47,6,5.22%,0.40
22.0,Shoji Erik,L,119732,2023,USA,USA,34.0,184,0,0.00,0,-,-,0,-,-,0,-,-
,John Speraw,COACH,N/A,2023,USA,,,,,,,,,,,,,,
